Ride_type_thrill,Ride_type_spinning,Ride_type_slow,Ride_type_small_drops,Ride_type_big_drops,Ride_type_dark,Ride_type_scary,Fast_pass,Classic,Age_interest_preschoolers,Height_req_inches,Ride_duration_min,Age_of_ride_years,TA_Stars,Park_location_AK,Park_location_EC,Park_location_HS,Park_location_MK,Park_area_Adventureland,Park_area_Asia,Park_area_Dinoland USA,Park_area_Echo Lake,Park_area_Fantasyland,Park_area_Frontierland,Park_area_Future World,Park_area_Liberty Square,Park_area_Main Street USA,Park_area_Pandora,Park_area_Tomorrowland,Park_area_Toy Story Land,Park_area_World Showcase
1,0,0,0,1,0,0,1,0,0,48,1.25,23.235455167693356,High,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,38,2.5,8.404517453798768,High,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,38,2.0,4.314168377823409,High,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0,0,0,1,0,0,40,5.0,17.466803559206017,High,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,1,0,1,1,0,44,2.5,47.76933607118412,High,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,1,0,0,0,1,0,15.0,40.05954825462013,High,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,0,40,11.0,30.266255989048595,High,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,40,5.0,32.85352498288843,High,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,40,4.0,23.605065023956193,High,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,1,35,1.0,26.05817932922656,Low,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0,1.5,21.417522245037645,Low,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,1,0,3.25,23.38329911019849,Low,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,1,1,1,1,0,0,40,5.0,28.253935660506507,High,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,1,32,4.75,51.06023271731691,Low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,0,10.0,47.31211498973307,Low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,1,0,1,0,8.0,14.394934976043803,High,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,0,0,0,0,0,1,0,1.5,20.56331279945243,Low,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,1,0,6.25,9.87748117727584,High,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,20.0,51.06023271731691,Low,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,1,1,0,20.75,47.76933607118412,Low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
